texto_original,texto_limpio
¿Cuál fue la fecha en la que se dataron en 2018 las pinturas de diversas cuevas en España?,cuál fue la fecha en la que se dataron en 2018 las pinturas de diversas cuevas en españa
¿Qué propone un grupo de asesores gubernamentales de Japón?,qué propone un grupo de asesores gubernamentales de japón
¿Cómo se llamó la ideología que promovió Japón hasta el fin de la Segunda Guerra Mundial?,cómo se llamó la ideología que promovió japón hasta el fin de la segunda guerra mundial
¿Quién es el nuevo mandatario de El Salvador?,quién es el nuevo mandatario de el salvador
¿Cuál es el récord de salto de longitud de España?,cuál es el récord de salto de longitud de españa
¿Cómo se desató esta vez la tensión entre Israel y Hamás?,cómo se desató esta vez la tensión entre israel y hamás
¿Cuándo se inició verdaderamente la guerra civil en Vietnam?,cuándo se inició verdaderamente la guerra civil en vietnam
¿Qué perdió Francia tras ser derrotada en Biocca?,qué perdió francia tras ser derrotada en biocca
¿Quién exporta a Argentina?,quién exporta a argentina
¿Cuándo fue el asalto terrorista de Nueva York?,cuándo fue el asalto terrorista de nueva york
¿A qué país vencieron los países Bajos?,a qué país vencieron los países bajos
¿De qué nacionalidad eran las personas que pudieron salir de libres de Israel?,de qué nacionalidad eran las personas que pudieron salir de libres de israel
¿Quién se opone a las ejecuciones de menores en Irán?,quién se opone a las ejecuciones de menores en irán
¿Con qué resultado final logró imponerse Paraguay a Brasil?,con qué resultado final logró imponerse paraguay a brasil
¿Qué le tira en cara la UE al Reino Unido?,qué le tira en cara la ue al reino unido
¿A qué está ligada la historia del ferrocarril en Bolivia?,a qué está ligada la historia del ferrocarril en bolivia
¿Qué persona fue el anfitrión de la cumbre de Cuba?,qué persona fue el anfitrión de la cumbre de cuba
¿Qué jugador ha sido imputado?,qué jugador ha sido imputado
¿Por qué se han detenido a los jóvenes italianos y croatas?,por qué se han detenido a los jóvenes italianos y croatas
¿Cuántos años llevan en pie de guerra el grupo Hamás e Israel?,cuántos años llevan en pie de guerra el grupo hamás e israel
¿Qué acontecimiento deportivo se celebrará en la ciudad colombiana de Cali?,qué acontecimiento deportivo se celebrará en la ciudad colombiana de cali
¿Cómo era la relación entre corona y nobleza en la España Medieval?,cómo era la relación entre corona y nobleza en la españa medieval
¿Entre qué guerras se produjo la Guerra de Granada?,entre qué guerras se produjo la guerra de granada
¿Qué recursos naturales explota China en África?,qué recursos naturales explota china en áfrica
¿Cuál era el área que definía la palabra Scotia?,cuál era el área que definía la palabra scotia
¿Cuál era el sustento principal de los Nigersaurus?,cuál era el sustento principal de los nigersaurus
¿Cuándo hubo un golpe de estado en Tailandia?,cuándo hubo un golpe de estado en tailandia
¿Qué medida extrema ha tomado el gobierno de Ecuador?,qué medida extrema ha tomado el gobierno de ecuador
¿Qué dice EEUU que ha hecho Rusia?,qué dice eeuu que ha hecho rusia
¿Dónde empezó la campaña de vacunación en Bolivia?,dónde empezó la campaña de vacunación en bolivia
¿Cuándo finalizó el juicio del caso Philip Morris contra Uruguay?,cuándo finalizó el juicio del caso philip morris contra uruguay
¿Qué pretende esta acción civil con respecto a la adhesión de Suiza a la UE?,qué pretende esta acción civil con respecto a la adhesión de suiza a la ue
¿Hasta cuándo siguieron hablando en sueco los descendientes de los primeros colonos de Nueva Suecia?,hasta cuándo siguieron hablando en sueco los descendientes de los primeros colonos de nueva suecia
¿Cuándo fue aprobado el proyecto para la igualdad sexual en Japón?,cuándo fue aprobado el proyecto para la igualdad sexual en japón
¿Quién es el político brasileño enjuiciado?,quién es el político brasileño enjuiciado
¿Qué eran los calpulli?,qué eran los calpulli
¿Quién es Román Rodríguez?,quién es román rodríguez
¿Cómo quiere declarar Assange en el proceso de Suecia?,cómo quiere declarar assange en el proceso de suecia
¿Cuántos días lleva Fiyi en crisis?,cuántos días lleva fiyi en crisis
¿En qué medio de comunicación austriaco ha dado su opinión Susanne Riess-Passer?,en qué medio de comunicación austriaco ha dado su opinión susanne riesspasser
¿Cuántos pájaros murieron en China?,cuántos pájaros murieron en china
¿Qué ha logrado mejorar la situación de los incendios en Australia?,qué ha logrado mejorar la situación de los incendios en australia
¿Quién es el jefe de Estado en Chile?,quién es el jefe de estado en chile
¿Cuál fue la reacción de España ante la Primera Guerra Mundial?,cuál fue la reacción de españa ante la primera guerra mundial
¿Quién es el próximo contrincante de Chile?,quién es el próximo contrincante de chile
¿Qué perspectiva se tiene del fútbol practicado por mujeres en Argentina?,qué perspectiva se tiene del fútbol practicado por mujeres en argentina
¿Cuáles eran los animales marinos de los que se alimentaban los habitantes de Japón durante el mesolítico y el neolítico?,cuáles eran los animales marinos de los que se alimentaban los habitantes de japón durante el mesolítico y el neolítico
¿Cuándo se reunieron Maduro y Prado con militares paraguayos?,cuándo se reunieron maduro y prado con militares paraguayos
¿Adónde se dirigirá en los próximos días el presidente de Brasil?,adónde se dirigirá en los próximos días el presidente de brasil
¿Qué material está produciendo Irán?,qué material está produciendo irán
¿Cuántos niños seguirán muriendo?,cuántos niños seguirán muriendo
¿Hasta cuándo pidió España usar combustible con plomo?,hasta cuándo pidió españa usar combustible con plomo
¿Cuál es el objetivo de la misiva destinada al tribunal de La Haya?,cuál es el objetivo de la misiva destinada al tribunal de la haya
¿Qué organismo se estableció para reglamentar los intercambios comerciales de las Indias Occidentales?,qué organismo se estableció para reglamentar los intercambios comerciales de las indias occidentales
¿Cuántos bantustanes había en lo que ahora es Namibia?,cuántos bantustanes había en lo que ahora es namibia
¿En qué años se produjeron más asesinatos de mujeres en México?,en qué años se produjeron más asesinatos de mujeres en méxico
¿En cuántas partes de Colombia se han anunciado incidentes?,en cuántas partes de colombia se han anunciado incidentes
¿Cómo había probado el gobierno chileno acabar con la alianza entre Bolivia y Perú?,cómo había probado el gobierno chileno acabar con la alianza entre bolivia y perú
¿A quién atribuye el Gobierno de la India el atentado de Bombay?,a quién atribuye el gobierno de la india el atentado de bombay
¿Qué prohíbe la regulación de Brasil?,qué prohíbe la regulación de brasil
¿Cuándo fue incluido el estado de Indiana en la Unión?,cuándo fue incluido el estado de indiana en la unión
¿De qué se acusa al jugador?,de qué se acusa al jugador
¿Quién creen los habitantes de Madagascar que se manifiesta en el cuerpo de estas polillas?,quién creen los habitantes de madagascar que se manifiesta en el cuerpo de estas polillas
¿Cuántas cuevas con arte rupestre parietal hay en Francia?,cuántas cuevas con arte rupestre parietal hay en francia
"¿Quién definió el idioma, la escritura y la cultura política del Japón?",quién definió el idioma la escritura y la cultura política del japón
¿Quiénes colaboraron del lado de los españoles en la conquista de México?,quiénes colaboraron del lado de los españoles en la conquista de méxico
¿Quién fue el rival de Samoa Americana este jueves en el Joseph Blatter de Apia?,quién fue el rival de samoa americana este jueves en el joseph blatter de apia
¿Cuántas personas se han contagiado del virus de la influenza A en Argentina según la OMS?,cuántas personas se han contagiado del virus de la influenza a en argentina según la oms
¿Cuándo descendió dos décimas el PIB de la zona euro?,cuándo descendió dos décimas el pib de la zona euro
¿Con quién suspendió sus relaciones diplomáticas Venezuela?,con quién suspendió sus relaciones diplomáticas venezuela
¿Cuántas personas iban a bordo del aparato accidentado?,cuántas personas iban a bordo del aparato accidentado
¿Cuál era la meta de la expedición de Hernán Cortés a Honduras?,cuál era la meta de la expedición de hernán cortés a honduras
¿En qué parte de España no piensa inyectar dinero el gobierno?,en qué parte de españa no piensa inyectar dinero el gobierno
¿Qué se ha solicitado al legislativo brasileño?,qué se ha solicitado al legislativo brasileño
¿Qué casa sucedió a la Casa de Austria?,qué casa sucedió a la casa de austria
¿Cuántas personas fueron convocadas a la votación?,cuántas personas fueron convocadas a la votación
¿Cuándo fue Gaddafi a Italia por primera vez?,cuándo fue gaddafi a italia por primera vez
¿Cuál es el factor identificativo más importante de una tribu según Malinowski?,cuál es el factor identificativo más importante de una tribu según malinowski
¿Qué mamíferos australianos destacan por su cantidad?,qué mamíferos australianos destacan por su cantidad
¿Qué autor colombiano escribió sobre la vida en el Caribe?,qué autor colombiano escribió sobre la vida en el caribe
¿Cómo se estima que fue la composición del ejército que ganó la Guerra de Granada?,cómo se estima que fue la composición del ejército que ganó la guerra de granada
¿Cómo mataron al político dominicano?,cómo mataron al político dominicano
¿Qué área se quemó en México?,qué área se quemó en méxico
¿Cómo se conoce popularmente este escándalo de corrupción de la política brasileña?,cómo se conoce popularmente este escándalo de corrupción de la política brasileña
¿Cuántas culturas habitaban el territorio del México actual?,cuántas culturas habitaban el territorio del méxico actual
¿Qué día de 2006 se celebraron comicios generales en Brasil?,qué día de 2006 se celebraron comicios generales en brasil
¿Adónde se trasladó el mandatario uruguayo?,adónde se trasladó el mandatario uruguayo
¿Qué pretendía cambiar el ministerio de educación chileno?,qué pretendía cambiar el ministerio de educación chileno
¿Cuál era el único imperio de Europa que siguió combatiendo contra Francia tras la victoria de esta nación contra Austria?,cuál era el único imperio de europa que siguió combatiendo contra francia tras la victoria de esta nación contra austria
¿Hace cuántos años ganó Inglaterra a Alemania por última vez?,hace cuántos años ganó inglaterra a alemania por última vez
¿Qué ha afirmado Martin Malia?,qué ha afirmado martin malia
¿Cuándo juega Chile en Bolivia?,cuándo juega chile en bolivia
¿Cuántos goles metió Honduras a Perú?,cuántos goles metió honduras a perú
¿Qué dirigente sería de la República Dominicana?,qué dirigente sería de la república dominicana
¿Cuándo fue Sharápova campeona en Australia?,cuándo fue sharápova campeona en australia
¿Dónde tuvo lugar la protesta de hoy de los habitantes de Costa Rica?,dónde tuvo lugar la protesta de hoy de los habitantes de costa rica
¿En qué posición quedó Alla Epyfanova?,en qué posición quedó alla epyfanova
¿Cuándo serán las semis de la Copa Davis contra España?,cuándo serán las semis de la copa davis contra españa
¿Cómo podemos saltar en Super Mario Bros.?,cómo podemos saltar en super mario bros
¿Cuál es el tipo de voz que tiene Thalía cuando canta canciones italianas?,cuál es el tipo de voz que tiene thalía cuando canta canciones italianas
¿Cuál es el nombre que tiene en italiano el Palacio Real de Caserta?,cuál es el nombre que tiene en italiano el palacio real de caserta
¿Cómo se llama la mayor unidad deportiva de Ciudad de México?,cómo se llama la mayor unidad deportiva de ciudad de méxico
¿Quién será el nuevo presidente de México tras Peña Nieto?,quién será el nuevo presidente de méxico tras peña nieto
¿Qué profesión tiene Reiner?,qué profesión tiene reiner
¿Cuál fue el motivo del viaje de Maduro a Argentina?,cuál fue el motivo del viaje de maduro a argentina
¿Qué tipos de publicaciones podemos encontrar relacionadas con Indiana Jones?,qué tipos de publicaciones podemos encontrar relacionadas con indiana jones
¿A cuánto asciende la extensión total de la basílica de San Pedro?,a cuánto asciende la extensión total de la basílica de san pedro
¿Cuándo acordó Timor Oriental su independencia?,cuándo acordó timor oriental su independencia
¿Quién se puso de parte de Bulgaria ante la solicitud de poder contraatacar si era atacada?,quién se puso de parte de bulgaria ante la solicitud de poder contraatacar si era atacada
¿Cuándo se inició una contienda entre Gran Bretaña y España?,cuándo se inició una contienda entre gran bretaña y españa
¿Cuántos humanos han fallecido en Filipinas?,cuántos humanos han fallecido en filipinas
¿Qué día de febrero se emitió la primera Constitución de El Salvador?,qué día de febrero se emitió la primera constitución de el salvador
¿Cuál es la población de DInamarca?,cuál es la población de dinamarca
¿Cómo ha sido descrita la crisis de Ecuador?,cómo ha sido descrita la crisis de ecuador
¿Qué ha anunciado Brasil en el OMC?,qué ha anunciado brasil en el omc
¿Qué proporción de Enersis pertenece a Endesa España?,qué proporción de enersis pertenece a endesa españa
¿Cuándo le propusieron a Larkin ocupar el puesto de poeta laureado del Reino Unido?,cuándo le propusieron a larkin ocupar el puesto de poeta laureado del reino unido
¿Quién es el mandatario de Costa de Marfil?,quién es el mandatario de costa de marfil
¿Cuántos marcos se depositaron en Suiza entre 1989 y 1993?,cuántos marcos se depositaron en suiza entre 1989 y 1993
¿Cuándo tendrá lugar la competición entre España y Estados Unidos?,cuándo tendrá lugar la competición entre españa y estados unidos
¿Cuándo llegó a Chile el primer caso de influenza?,cuándo llegó a chile el primer caso de influenza
¿Cuál es el nombre que recibe el estandarte escocés?,cuál es el nombre que recibe el estandarte escocés
¿Cómo se conoce también la Guerra de la Independencia Argentina?,cómo se conoce también la guerra de la independencia argentina
¿Cuántas copias de Super Smash Bros. Brawl se vendieron en Japón en 2008?,cuántas copias de super smash bros brawl se vendieron en japón en 2008
¿En qué año se publicó la canción en Reino Unido?,en qué año se publicó la canción en reino unido
¿A quién exonera el gobierno de la República Popular China?,a quién exonera el gobierno de la república popular china
¿Cuántos ciudadanos de la antigua RDA se trasladaron al Oeste?,cuántos ciudadanos de la antigua rda se trasladaron al oeste
¿Quién es el ex presidente de México?,quién es el ex presidente de méxico
¿Cuántos brasileños residen en Argentina?,cuántos brasileños residen en argentina
¿Quién dirige el país brasileño?,quién dirige el país brasileño
¿Quién se encontraba a la cabeza del gobierno de México cuando las élites del Distrito Federal se mudaron hacia el sur y el este?,quién se encontraba a la cabeza del gobierno de méxico cuando las élites del distrito federal se mudaron hacia el sur y el este
¿Cuántos puntos tiene el piloto italiano?,cuántos puntos tiene el piloto italiano
¿Quién estaba al mando de Japón durante la guerra?,quién estaba al mando de japón durante la guerra
¿Cómo se impuso el equipo italiano a los franceses?,cómo se impuso el equipo italiano a los franceses
¿Qué deseaban los ciudadanos de la RDA antes de 1989?,qué deseaban los ciudadanos de la rda antes de 1989
¿Cuánto subirán los tipos de interés para préstamos del Banco Central de China?,cuánto subirán los tipos de interés para préstamos del banco central de china
¿A cuántas votaciones se celebran las elecciones a presidente de Brasil?,a cuántas votaciones se celebran las elecciones a presidente de brasil
¿Quién fue inhumado en las Grutas Vaticanas?,quién fue inhumado en las grutas vaticanas
"¿Con qué están más vinculados Asia Menor, Macedonia, Grecia y Roma?",con qué están más vinculados asia menor macedonia grecia y roma
¿Cómo se titula la comedia argentina que se ha podido ver en el certamen de cine?,cómo se titula la comedia argentina que se ha podido ver en el certamen de cine
¿Cuántas personas han fallecido en las minas de carbón en China?,cuántas personas han fallecido en las minas de carbón en china
¿Cuántas escuelas cerrarán en Argentina por el aumento de contagios del Influenzavirus A?,cuántas escuelas cerrarán en argentina por el aumento de contagios del influenzavirus a
¿Dónde se halla Iztapalapa dentro de la Ciudad de México?,dónde se halla iztapalapa dentro de la ciudad de méxico
¿De qué capitanía formaba parte El Salvador?,de qué capitanía formaba parte el salvador
¿Cuándo fue España uno de los principales imperios en el mundo?,cuándo fue españa uno de los principales imperios en el mundo
¿Cuántos puestos de trabajo necesitan crearse en Sudáfrica?,cuántos puestos de trabajo necesitan crearse en sudáfrica
¿Dónde se ha construido la primera carretera de plástico de México?,dónde se ha construido la primera carretera de plástico de méxico
¿Cuántos estados constituyen los Emiratos Árabes Unidos?,cuántos estados constituyen los emiratos árabes unidos
"¿De qué agrupación formaron parte Prusia, Sajonia y Rusia?",de qué agrupación formaron parte prusia sajonia y rusia
¿Quién marcó para España contra Alemania en Moses Mabhida?,quién marcó para españa contra alemania en moses mabhida
¿En qué categoría del campeonato mundial de fútbol se ha proclamado vencedora Suiza?,en qué categoría del campeonato mundial de fútbol se ha proclamado vencedora suiza
¿Cuántos compromisarios acudirán al evento?,cuántos compromisarios acudirán al evento
¿Cuál es el deporte más popular en España?,cuál es el deporte más popular en españa
¿De quién asimilaron tradiciones los grupos venidos de Aridoamérica?,de quién asimilaron tradiciones los grupos venidos de aridoamérica
¿Cuánto representan las exportaciones de vino a Norteamérica para Chile?,cuánto representan las exportaciones de vino a norteamérica para chile
¿Dónde se enfrentaron Alemania y Portugal?,dónde se enfrentaron alemania y portugal
¿Qué pretenden las autoridades estadounidenses con ofensivas de este tipo?,qué pretenden las autoridades estadounidenses con ofensivas de este tipo
¿Cuándo se popularizó el uso de la palabra Scotland para referirse a toda el área de Escocia?,cuándo se popularizó el uso de la palabra scotland para referirse a toda el área de escocia
¿Qué cargos ocupa Luciano Alonso?,qué cargos ocupa luciano alonso
¿Qué solicitó al banco?,qué solicitó al banco
¿Qué destacado evento se ha inaugurado en la capital de Panamá?,qué destacado evento se ha inaugurado en la capital de panamá
¿Con qué desafió EEUU a Rusia?,con qué desafió eeuu a rusia
¿Quién está al mano de la República Dominicana?,quién está al mano de la república dominicana
¿Cuántos militares españoles murieron en Líbano?,cuántos militares españoles murieron en líbano
¿Cuándo eliminó Brasil a Dinamarca por 3 a 2?,cuándo eliminó brasil a dinamarca por 3 a 2
¿Cuándo fue Juanjo a Pakistán?,cuándo fue juanjo a pakistán
¿Cuál es el objetivo principal de Obama en relación con Afganistán?,cuál es el objetivo principal de obama en relación con afganistán
¿A cuántos trabajadores han logrado rescatar del interior del yacimiento?,a cuántos trabajadores han logrado rescatar del interior del yacimiento
¿Cuál era la coyuntura de Chile durante la sublevación?,cuál era la coyuntura de chile durante la sublevación
¿Qué país ha tenido más fallecido de COVID-19 que India?,qué país ha tenido más fallecido de covid19 que india
¿Cómo quedó la comunicación con Grecia y Macedonia?,cómo quedó la comunicación con grecia y macedonia
¿A qué formación política pertenece Ann Widdecombe?,a qué formación política pertenece ann widdecombe
¿A qué partido de Costa Rica pertenece el precandidato Villalta?,a qué partido de costa rica pertenece el precandidato villalta
¿Durante qué período evolucionó la arquitectura románica?,durante qué período evolucionó la arquitectura románica
¿Cuánta gente ha fallecido en Sri Lanka por el atentado?,cuánta gente ha fallecido en sri lanka por el atentado
¿Cuántos representantes de Suecia en Eurovisión salieron del Melodifestivalen?,cuántos representantes de suecia en eurovisión salieron del melodifestivalen
¿En qué país no es efectivo el acuerdo entre la Sociedad General de Aguas de Barcelona y Endesa España?,en qué país no es efectivo el acuerdo entre la sociedad general de aguas de barcelona y endesa españa
¿Quién disolvió el ejército de Haití?,quién disolvió el ejército de haití
¿Quién ganó a Portugal en Green Point?,quién ganó a portugal en green point
¿Quién está de visita en Colombia para hablar sobre el agua?,quién está de visita en colombia para hablar sobre el agua
¿Cuál es el país situado más al norte dentro de Reino Unido?,cuál es el país situado más al norte dentro de reino unido
¿Cuál fue el primer filme animado exhibido en Japón?,cuál fue el primer filme animado exhibido en japón
¿Cómo quedaron Colombia y Canadá?,cómo quedaron colombia y canadá
¿Cómo se denominó la invasión de Panamá por parte de EE. UU.?,cómo se denominó la invasión de panamá por parte de ee uu
¿A quiénes beneficia la globalización según el presidente de Paraguay?,a quiénes beneficia la globalización según el presidente de paraguay
¿Cuál era la densidad de población de Brasil en 2010?,cuál era la densidad de población de brasil en 2010
¿Quién fue el autor de Las aventuras de Indiana Smith?,quién fue el autor de las aventuras de indiana smith
¿Cuánto tiene pensado invertir México en ciencia y tecnología?,cuánto tiene pensado invertir méxico en ciencia y tecnología
¿Quién ganó las elecciones de Kenia?,quién ganó las elecciones de kenia
¿Cómo venderá Colombia el café soluble?,cómo venderá colombia el café soluble
¿Qué moneda es utilizada en Dinamarca?,qué moneda es utilizada en dinamarca
¿Qué es la Chilevid?,qué es la chilevid
¿Cuándo fue sellado el vínculo entre la UE y Rusia?,cuándo fue sellado el vínculo entre la ue y rusia
¿Qué acontecimiento provocó 10.000 fallecidos a mitades del siglo XIX en Japón?,qué acontecimiento provocó 10000 fallecidos a mitades del siglo xix en japón
¿De dónde es María Corina Machado?,de dónde es maría corina machado
¿Cuántas personas había viviendo en Argentina en 2019?,cuántas personas había viviendo en argentina en 2019
¿Por qué se tuvo que terminar abriendo Japón?,por qué se tuvo que terminar abriendo japón
¿Qué ruido hacen las aves?,qué ruido hacen las aves
¿Cuántos presidentes chilenos habían estudiado en la Facultad de Derecho de la Universidad de Chile?,cuántos presidentes chilenos habían estudiado en la facultad de derecho de la universidad de chile
¿Quién entrena a Guatemala?,quién entrena a guatemala
¿Cuándo respaldó el funcionario los ataques contra Serbia?,cuándo respaldó el funcionario los ataques contra serbia
¿Qué porcentaje de estadounidenses tiene una opinión negativa de Trump según la encuesta?,qué porcentaje de estadounidenses tiene una opinión negativa de trump según la encuesta
¿Cuántas personas podrán votar en España?,cuántas personas podrán votar en españa
¿Qué aprueba construir el alcalde israelí de Jerusalén en barrios palestinos?,qué aprueba construir el alcalde israelí de jerusalén en barrios palestinos
¿Cuántos pequeños empresarios hay en Ecuador?,cuántos pequeños empresarios hay en ecuador
¿Por qué ha dejado Israel que se marcharan los 250 palestinos presos?,por qué ha dejado israel que se marcharan los 250 palestinos presos
¿Durante qué período ayudó Sibelius a crear una identidad nacional para Finlandia?,durante qué período ayudó sibelius a crear una identidad nacional para finlandia
¿Quién es el principal socio comercial de Colombia?,quién es el principal socio comercial de colombia
¿Cuántas especies animales hay aproximadamente en Australia? ,cuántas especies animales hay aproximadamente en australia
¿De dónde provienen los ciudadanos cubanos?,de dónde provienen los ciudadanos cubanos
¿Quién ha dejado su cargo en el gobierno de Argentina?,quién ha dejado su cargo en el gobierno de argentina
¿Cuánta de la superficie de Azerbaiyán tiene yacimientos de petróleo y gas natural?,cuánta de la superficie de azerbaiyán tiene yacimientos de petróleo y gas natural
¿Dónde habitan la mayor parte de los habitantes de Corea del Sur?,dónde habitan la mayor parte de los habitantes de corea del sur
¿Cuántos televidentes vieron en Canadá este episodio?,cuántos televidentes vieron en canadá este episodio
¿Cuáles han sido los objetivos de los proyectiles lanzados por Irán?,cuáles han sido los objetivos de los proyectiles lanzados por irán
¿Cuándo gobernó en Uruguay Jorge Batlle?,cuándo gobernó en uruguay jorge batlle
¿De dónde se retirarán los militares británicos destinados en Afganistán?,de dónde se retirarán los militares británicos destinados en afganistán
¿Qué piloto acabó liderando la carrera de MotoGP?,qué piloto acabó liderando la carrera de motogp
¿Cuándo recuperó China la soberanía de Hong Kong?,cuándo recuperó china la soberanía de hong kong
¿Con qué mar limita Reino Unido por su parte septentrional?,con qué mar limita reino unido por su parte septentrional
¿Cuándo fue suspendida la discusión sobre el programa nuclear de Corea del Norte?,cuándo fue suspendida la discusión sobre el programa nuclear de corea del norte
¿Cuánto dinero público destinará el gobierno de Bush a rescatar los dos bancos?,cuánto dinero público destinará el gobierno de bush a rescatar los dos bancos
¿Cuál es la presencia militar de Polonia en la capital iraquí?,cuál es la presencia militar de polonia en la capital iraquí
¿Cuál es el nombre del niño cubano retenido en EEUU?,cuál es el nombre del niño cubano retenido en eeuu
¿Dónde compite Miguel Indurain antes del Tour de Francia?,dónde compite miguel indurain antes del tour de francia
¿Cómo ha calificado Greenpeace este proyecto gubernamental?,cómo ha calificado greenpeace este proyecto gubernamental
¿Contra quién perdió Nigeria?,contra quién perdió nigeria
¿Por cuánto venció la sub-21 española a Austria?,por cuánto venció la sub21 española a austria
¿Cuándo se produjo la separación de Corea del Sur y la del Norte?,cuándo se produjo la separación de corea del sur y la del norte
¿Cuántos tantos metió el River Plate de Argentina?,cuántos tantos metió el river plate de argentina
¿Cómo fue la reacción de Alemania e Italia respecto a lo que quería conseguir Hungría?,cómo fue la reacción de alemania e italia respecto a lo que quería conseguir hungría
¿Cómo reaccionó ante el suceso la empresa con la que la mujer tenía hipotecada su vivienda?,cómo reaccionó ante el suceso la empresa con la que la mujer tenía hipotecada su vivienda
¿Cuántos goles le metió Ecuador a Honduras en el Arena Baixada de Curitiba?,cuántos goles le metió ecuador a honduras en el arena baixada de curitiba
¿Quiénes tenían la supremacía en la segunda mitad del siglo XIX en detrimento de las burguesías de España?,quiénes tenían la supremacía en la segunda mitad del siglo xix en detrimento de las burguesías de españa
¿Cómo se abrevia El Tribunal Supremo Electoral de Honduras?,cómo se abrevia el tribunal supremo electoral de honduras
¿Quién ha ejemplificado con este caso la situación que viven millones de personas?,quién ha ejemplificado con este caso la situación que viven millones de personas
