texto_original,texto_limpio
¿Dónde termina la escalera doble de las Grutas Vaticanas?,dónde termina la escalera doble de las grutas vaticanas
¿Dónde ha hecho Bush sus declaraciones sobre Irán?,dónde ha hecho bush sus declaraciones sobre irán
¿Qué material está produciendo Irán?,qué material está produciendo irán
¿Cómo se llama el nuevo equipo de voleibol femenino?,cómo se llama el nuevo equipo de voleibol femenino
¿Cuándo ganó la Champions League el C.V. Tenerife Construcciones Marichal?,cuándo ganó la champions league el cv tenerife construcciones marichal
¿Cuál es el objetivo de los cambios de reglamento de 1998 y 2000?,cuál es el objetivo de los cambios de reglamento de 1998 y 2000
¿Cuántas naciones integran la Unión Europea?,cuántas naciones integran la unión europea
¿Cuándo descendió dos décimas el PIB de la zona euro?,cuándo descendió dos décimas el pib de la zona euro
¿Cómo fue acordada la suspensión de la candidatura a los Juegos Olímpicos de Invierno?,cómo fue acordada la suspensión de la candidatura a los juegos olímpicos de invierno
¿Cuántas personas fueron convocadas a la votación?,cuántas personas fueron convocadas a la votación
¿Cuándo se celebraron los Juegos Olímpicos de Invierno en Alberta?,cuándo se celebraron los juegos olímpicos de invierno en alberta
¿Cuál es el país situado más al norte dentro de Reino Unido?,cuál es el país situado más al norte dentro de reino unido
¿Cómo se denomina Escocia en gaélico escocés?,cómo se denomina escocia en gaélico escocés
¿Cuántas ínsulas se incluyen en el territorio de Escocia?,cuántas ínsulas se incluyen en el territorio de escocia
¿Cómo es la enseña escocesa?,cómo es la enseña escocesa
¿Dónde se halla el León Rampante?,dónde se halla el león rampante
¿Cuál es el nombre que recibe el estandarte escocés?,cuál es el nombre que recibe el estandarte escocés
¿Qué era Hibernia en la antigüedad?,qué era hibernia en la antigüedad
¿Cuál era el área que definía la palabra Scotia?,cuál era el área que definía la palabra scotia
¿Cuándo se popularizó el uso de la palabra Scotland para referirse a toda el área de Escocia?,cuándo se popularizó el uso de la palabra scotland para referirse a toda el área de escocia
¿Qué hizo la anciana al verse desahuciada de su casa?,qué hizo la anciana al verse desahuciada de su casa
¿Cómo reaccionó ante el suceso la empresa con la que la mujer tenía hipotecada su vivienda?,cómo reaccionó ante el suceso la empresa con la que la mujer tenía hipotecada su vivienda
¿Quién ha ejemplificado con este caso la situación que viven millones de personas?,quién ha ejemplificado con este caso la situación que viven millones de personas
¿Adónde va el ave cuando alcanza cierta edad?,adónde va el ave cuando alcanza cierta edad
¿Quién es el padre de Mariquiña?,quién es el padre de mariquiña
¿Qué pensaba Mariquiña respecto a lo que decía su padre?,qué pensaba mariquiña respecto a lo que decía su padre
¿Qué animales ven en la oscuridad?,qué animales ven en la oscuridad
¿Durante cuánto tiempo fueron refugiados políticos los eruditos antiguos?,durante cuánto tiempo fueron refugiados políticos los eruditos antiguos
¿Qué ruido hacen las aves?,qué ruido hacen las aves
¿Qué países latinoamericanos presentarán un texto conjunto ante el tribunal de justicia internacional?,qué países latinoamericanos presentarán un texto conjunto ante el tribunal de justicia internacional
¿Cuál es el objetivo de la misiva destinada al tribunal de La Haya?,cuál es el objetivo de la misiva destinada al tribunal de la haya
¿A quién podría afectar la denuncia conjunta de estos países?,a quién podría afectar la denuncia conjunta de estos países
¿De quién asimilaron tradiciones los grupos venidos de Aridoamérica?,de quién asimilaron tradiciones los grupos venidos de aridoamérica
¿Qué eran los calpulli?,qué eran los calpulli
¿Cuál era el cometido del consejo general de jefes locales?,cuál era el cometido del consejo general de jefes locales
¿En qué país se ha impuesto esta medida extrema por orden gubernamental?,en qué país se ha impuesto esta medida extrema por orden gubernamental
¿Cuándo se ha tomado esta decisión?,cuándo se ha tomado esta decisión
¿Cuál es la reivindicación de los participantes en las protestas?,cuál es la reivindicación de los participantes en las protestas
¿En qué ciudad francesa tuvo lugar la quinta prueba del mundial de motociclismo de 2017?,en qué ciudad francesa tuvo lugar la quinta prueba del mundial de motociclismo de 2017
¿Qué piloto acabó liderando la carrera de MotoGP?,qué piloto acabó liderando la carrera de motogp
¿Qué nombre tiene el proceso judicial?,qué nombre tiene el proceso judicial
¿Qué jugador ha sido imputado?,qué jugador ha sido imputado
¿De qué se acusa al jugador?,de qué se acusa al jugador
¿Por quién ha sido designado el juez?,por quién ha sido designado el juez
¿Quién instruye el caso?,quién instruye el caso
¿Cuándo emitirá una resolución el juez?,cuándo emitirá una resolución el juez
¿Qué medidas puede implicar la resolución del juez?,qué medidas puede implicar la resolución del juez
¿Quién defiende a Sandro?,quién defiende a sandro
¿Cuándo fue citado Sandro?,cuándo fue citado sandro
¿Qué explicó Sandro en su declaración?,qué explicó sandro en su declaración
¿Qué químico se detectó en un control antidoping a futbolistas argentinos?,qué químico se detectó en un control antidoping a futbolistas argentinos
¿Por qué está vetada esta sustancia para los deportistas?,por qué está vetada esta sustancia para los deportistas
¿Quiénes son los jugadores del River Plate que dieron positivo?,quiénes son los jugadores del river plate que dieron positivo
¿Con qué se puede sustituir el motor de una astronave?,con qué se puede sustituir el motor de una astronave
¿Con las velas solares hace falta carburante?,con las velas solares hace falta carburante
¿En cuántos grupos se dividen las velas solares?,en cuántos grupos se dividen las velas solares
¿De dónde proceden los fotones que reflecta la lámina?,de dónde proceden los fotones que reflecta la lámina
¿Hacia qué dirección ocurre el empuje?,hacia qué dirección ocurre el empuje
¿Qué provoca el reflejo de las partículas de luz del Sol?,qué provoca el reflejo de las partículas de luz del sol
¿Cómo son las velas que usan andamiada?,cómo son las velas que usan andamiada
¿Cuántos modelos existen de velas giratorias?,cuántos modelos existen de velas giratorias
¿Qué fuerza emplean las velas giratorias?,qué fuerza emplean las velas giratorias
¿Cuántos países participan en el plan Bolonia?,cuántos países participan en el plan bolonia
¿Cuándo han ocurrido las protestas?,cuándo han ocurrido las protestas
¿A qué se oponen los estudiantes?,a qué se oponen los estudiantes
¿En qué comunidad se encuentra el Santuario de Nuestra Señora de Contrueces?,en qué comunidad se encuentra el santuario de nuestra señora de contrueces
¿Cómo fue considerada la Virgen que se venera en Santuario de Nuestra Señora de Contrueces?,cómo fue considerada la virgen que se venera en santuario de nuestra señora de contrueces
¿En qué libro se encuentran los primeros documentos que hablan del Santuario de Nuestra Señora de Contrueces?,en qué libro se encuentran los primeros documentos que hablan del santuario de nuestra señora de contrueces
¿Dónde se firmó el acuerdo para levantar un nuevo templo?,dónde se firmó el acuerdo para levantar un nuevo templo
¿En qué estado se encontraba el santuario en 1638?,en qué estado se encontraba el santuario en 1638
¿A qué notario otorgaron una escritura sobre la alcabala de Nuestra Señora de Contrueces?,a qué notario otorgaron una escritura sobre la alcabala de nuestra señora de contrueces
¿Dónde está el Archivo Regional de Galicia?,dónde está el archivo regional de galicia
¿De qué estilo era la anterior iglesia?,de qué estilo era la anterior iglesia
¿En qué idioma está escrito el pergamino sobre la iglesia?,en qué idioma está escrito el pergamino sobre la iglesia
¿De dónde proceden los integrantes de la tribu?,de dónde proceden los integrantes de la tribu
¿Cuándo comenzó el movimiento de secesión de los lakota?,cuándo comenzó el movimiento de secesión de los lakota
¿Cómo estaba dividida Noruega antiguamente?,cómo estaba dividida noruega antiguamente
¿Qué rey inició el proceso de unificación?,qué rey inició el proceso de unificación
¿Con quién tuvieron que competir los descendientes de Harald Cabellera Hermosa?,con quién tuvieron que competir los descendientes de harald cabellera hermosa
¿Cómo se llamaba el navío de Olaf?,cómo se llamaba el navío de olaf
¿En qué transformó sus naves Olaf?,en qué transformó sus naves olaf
¿Dónde se colocó el Ormen Lange en la batalla?,dónde se colocó el ormen lange en la batalla
¿Qué es el ukiyo-e?,qué es el ukiyo-e
¿Cuántas imágenes se pueden ver realmente en Cien famosas vistas de Edo?,cuántas imágenes se pueden ver realmente en cien famosas vistas de edo
¿Cómo se llama la técnica del grabado en madera?,cómo se llama la técnica del grabado en madera
¿Qué acontecimiento causó un posterior crecimiento de la ciudad de Edo?,qué acontecimiento causó un posterior crecimiento de la ciudad de edo
¿Cómo era el estado que se creó en el período Edo?,cómo era el estado que se creó en el período edo
¿Durante qué época se cerró Japón a todo contacto exterior?,durante qué época se cerró japón a todo contacto exterior
¿Por qué se tuvo que terminar abriendo Japón?,por qué se tuvo que terminar abriendo japón
¿Qué acontecimiento provocó 10.000 fallecidos a mitades del siglo XIX en Japón?,qué acontecimiento provocó 10000 fallecidos a mitades del siglo xix en japón
¿Cuándo fue realizada la serie Cien famosas vistas de Edo según el calendario japonés?,cuándo fue realizada la serie cien famosas vistas de edo según el calendario japonés
¿Dónde se van a encontrar los mandatarios del G-20 este fin de semana?,dónde se van a encontrar los mandatarios del g-20 este fin de semana
¿Qué es la OCDE?,qué es la ocde
¿Cómo se abrevia el Fondo Monetario Internacional?,cómo se abrevia el fondo monetario internacional
¿A qué órgano ataca principalmente la FQ?,a qué órgano ataca principalmente la fq
¿Cuál es el síntoma de la fibrosis quística?,cuál es el síntoma de la fibrosis quística
¿Por qué suelen morir los enfermos de FQ?,por qué suelen morir los enfermos de fq
¿Cómo se puede mejorar la calidad de vida de los enfermos de FQ?,cómo se puede mejorar la calidad de vida de los enfermos de fq
¿Cuál es el remedio que se aplica para tratar las infecciones crónicas y agudas de FQ?,cuál es el remedio que se aplica para tratar las infecciones crónicas y agudas de fq
¿Qué sustancia se emplea para tratar la diabetes?,qué sustancia se emplea para tratar la diabetes
¿De qué aspectos dependen las distintas manifestaciones de la FQ?,de qué aspectos dependen las distintas manifestaciones de la fq
¿En qué partes del cuerpo se evidencia la fibrosis quística?,en qué partes del cuerpo se evidencia la fibrosis quística
¿Cuáles son los síntomas de la FQ que se hacen visibles durante la infancia y el comienzo de la edad adulta?,cuáles son los síntomas de la fq que se hacen visibles durante la infancia y el comienzo de la edad adulta
¿Por qué rehusó Stresemann su nombramiento como canciller en 1923?,por qué rehusó stresemann su nombramiento como canciller en 1923
¿Cuál fue la primera tarea que emprendió Stresemann en el gobierno de Marx?,cuál fue la primera tarea que emprendió stresemann en el gobierno de marx
¿Cómo resultaron los tratos que tuvo Stresemann con ciertos diplomáticos?,cómo resultaron los tratos que tuvo stresemann con ciertos diplomáticos
¿Cómo se ganaba la vida el padre de Stresemann?,cómo se ganaba la vida el padre de stresemann
¿Qué llevó a Stresemann a convertirse en un gran lector?,qué llevó a stresemann a convertirse en un gran lector
¿Cuándo falleció la madre de Stresemann?,cuándo falleció la madre de stresemann
¿De qué hablaba Antonia con Rafael?,de qué hablaba antonia con rafael
¿A quién pidió ayuda Antonia cuando se averió la cañería?,a quién pidió ayuda antonia cuando se averió la cañería
¿Quién es la vecina de Rafael?,quién es la vecina de rafael
¿Dónde esperaba Antonia a Rafael?,dónde esperaba antonia a rafael
¿Qué le gustaba a Rafael?,qué le gustaba a rafael
¿Qué ofreció Antonia a Rafael?,qué ofreció antonia a rafael
¿Qué hace falta en una casa según Antonia?,qué hace falta en una casa según antonia
¿Cómo se sentía Antonia por la visita de Rafael?,cómo se sentía antonia por la visita de rafael
¿Cuál era el estado civil de Antonia?,cuál era el estado civil de antonia
¿Cuántas personas han tenido que abandonar sus viviendas en Kenia?,cuántas personas han tenido que abandonar sus viviendas en kenia
¿Cuándo comenzó el conflicto en Kenia?,cuándo comenzó el conflicto en kenia
¿Quién ganó las elecciones de Kenia?,quién ganó las elecciones de kenia
¿Cómo se otorgaron los permisos de pesca cuando gobernaba Menem?,cómo se otorgaron los permisos de pesca cuando gobernaba menem
¿Por qué están en riesgo las reservas de merluza?,por qué están en riesgo las reservas de merluza
¿Qué cargo ocupa Miguel Bein?,qué cargo ocupa miguel bein
¿Cuánto bajaron las reservas de merluza entre 1998 y 1999?,cuánto bajaron las reservas de merluza entre 1998 y 1999
¿Cuánta merluza se capturó en 1997?,cuánta merluza se capturó en 1997
¿Qué denunció Greenpeace en 1999?,qué denunció greenpeace en 1999
¿Cuándo se declaró la ley de emergencia pesquera?,cuándo se declaró la ley de emergencia pesquera
¿Cuál es el nuevo máximo permitido de capturas de merluza?,cuál es el nuevo máximo permitido de capturas de merluza
¿Cuántos empleos indirectos produce la pesca en Argentina?,cuántos empleos indirectos produce la pesca en argentina
¿A qué compañía aérea pertenecía el vuelo MH370?,a qué compañía aérea pertenecía el vuelo mh370
¿Cuánto dinero quieren conseguir los familiares de los accidentados del vuelo MH370?,cuánto dinero quieren conseguir los familiares de los accidentados del vuelo mh370
¿Para qué quieren conseguir los familiares del vuelo MH370 15 000 000 de euros?,para qué quieren conseguir los familiares del vuelo mh370 15 000 000 de euros
¿Quién puso la primera piedra de la urbe de Roma?,quién puso la primera piedra de la urbe de roma
¿Cuándo llegó la Monarquía romana a su fin?,cuándo llegó la monarquía romana a su fin
¿Cómo ha generado dudas la historiografía actual acerca de la datación de la Monarquía romana?,cómo ha generado dudas la historiografía actual acerca de la datación de la monarquía romana
¿Cuál era la relación de Rómulo con Remo?,cuál era la relación de rómulo con remo
¿Por qué asesinó Rómulo a su hermano?,por qué asesinó rómulo a su hermano
¿Quiénes fueron los pobladores de la Roma incipiente?,quiénes fueron los pobladores de la roma incipiente
¿Qué forma de gobierno precedió a la república en Roma?,qué forma de gobierno precedió a la república en roma
¿Quién seleccionaba a los reyes de Roma?,quién seleccionaba a los reyes de roma
¿Por qué motivo se elegía al rey?,por qué motivo se elegía al rey
¿Cuándo se estableció la Junta Revolucionaria?,cuándo se estableció la junta revolucionaria
¿Cómo fue bautizada la asamblea militar cuyo objetivo era defender a la Unión Cívica?,cómo fue bautizada la asamblea militar cuyo objetivo era defender a la unión cívica
¿Quiénes fueron los cabecillas de la Logia de los 33 oficiales?,quiénes fueron los cabecillas de la logia de los 33 oficiales
¿Qué título tiene el ensayo de Tolkien de 1968?,qué título tiene el ensayo de tolkien de 1968
¿Qué familiar de la elfa tiene el cabello rubio?,qué familiar de la elfa tiene el cabello rubio
¿Qué habilidad tiene la elfa?,qué habilidad tiene la elfa
¿Cuándo se quiso hacer una adaptación a dibujos animados de El Señor de los Anillos?,cuándo se quiso hacer una adaptación a dibujos animados de el señor de los anillos
¿Quién hizo el guion de la adaptación?,quién hizo el guion de la adaptación
¿Por qué se siente tentada Galadriel en El Señor de los Anillos?,por qué se siente tentada galadriel en el señor de los anillos
¿Quién es José María Aznar?,quién es josé maría aznar
¿Qué ha prometido hoy Aznar que va a fomentar?,qué ha prometido hoy aznar que va a fomentar
¿Dónde ha tenido lugar el encuentro de hoy con Aznar y algunos cantantes?,dónde ha tenido lugar el encuentro de hoy con aznar y algunos cantantes
¿Qué ha manifestado el presidente públicamente contra los maltratos a la mujer?,qué ha manifestado el presidente públicamente contra los maltratos a la mujer
¿Qué tipo de soporte les da Aznar a los artistas?,qué tipo de soporte les da aznar a los artistas
¿Qué requiere esta batalla según Aznar?,qué requiere esta batalla según aznar
¿Cuáles fueron los delitos atribuidos a Sérgio Cabral?,cuáles fueron los delitos atribuidos a sérgio cabral
¿A cuánto asciende la sanción económica impuesta a Sérgio Cabral?,a cuánto asciende la sanción económica impuesta a sérgio cabral
¿Qué órgano emitió la resolución?,qué órgano emitió la resolución
¿Cuántas personas murieron por culpa del seísmo?,cuántas personas murieron por culpa del seísmo
¿Cuándo sucedió el seísmo?,cuándo sucedió el seísmo
¿Dónde hubo más fallecidos?,dónde hubo más fallecidos
¿Quién fue el guionista de El discurso del rey?,quién fue el guionista de el discurso del rey
¿Cuáles son los géneros en los que se puede clasificar esta película?,cuáles son los géneros en los que se puede clasificar esta película
¿Qué rey sucede a Eduardo VIII tras su abdicación?,qué rey sucede a eduardo viii tras su abdicación
¿Por qué cree David Seidler que fue tartamudo en su niñez?,por qué cree david seidler que fue tartamudo en su niñez
¿El ejemplo de qué rey tartamudo ayudó a Seidler a superar su enfermedad?,el ejemplo de qué rey tartamudo ayudó a seidler a superar su enfermedad
¿A quién solicitó Logue permiso para hablar sobre su padre?,a quién solicitó logue permiso para hablar sobre su padre
¿Dónde batió El discurso del rey el récord de ingresos en un fin de semana de estreno?,dónde batió el discurso del rey el récord de ingresos en un fin de semana de estreno
¿Cuánto dinero se embolsó El discurso del rey durante el fin de semana de su estreno?,cuánto dinero se embolsó el discurso del rey durante el fin de semana de su estreno
¿Qué película antes de El discurso del rey había logrado unas ganancias similares a los de este filme?,qué película antes de el discurso del rey había logrado unas ganancias similares a los de este filme
¿Qué acababa de hacer Antonia?,qué acababa de hacer antonia
¿Por qué abrió las piernas?,por qué abrió las piernas
¿Dónde estaban las sartenes?,dónde estaban las sartenes
¿Quién es el hermano de Antonia?,quién es el hermano de antonia
¿Qué cargo ocupa Ben Bernanke?,qué cargo ocupa ben bernanke
¿Qué afirmación hizo Ben Bernanke?,qué afirmación hizo ben bernanke
¿A qué se dedica Henry Paulson?,a qué se dedica henry paulson
¿Cuántas viviendas pretende edificar Israel en Jerusalén Este?,cuántas viviendas pretende edificar israel en jerusalén este
¿Qué norma vulnera Israel?,qué norma vulnera israel
¿Cuándo fueron desahuciadas las familias palestinas?,cuándo fueron desahuciadas las familias palestinas
¿Quién era el presidente de Nintendo América en 2006?,quién era el presidente de nintendo américa en 2006
¿Cuándo dijo Miyamoto que Super Mario Galaxy saldría a la venta como muy tarde?,cuándo dijo miyamoto que super mario galaxy saldría a la venta como muy tarde
¿Dónde dijo Miyamoto que se podría jugar a Super Mario Galaxy en 2007?,dónde dijo miyamoto que se podría jugar a super mario galaxy en 2007
¿Cómo definió la web de reseñas Top Ten Reviews a Super Mario Galaxy?,cómo definió la web de reseñas top ten reviews a super mario galaxy
¿Cuál es el encanto primordial de este videojuego según la mayoría de críticos?,cuál es el encanto primordial de este videojuego según la mayoría de críticos
¿Qué cabeceras han criticado positivamente a Super Mario Galaxy en EE. UU.?,qué cabeceras han criticado positivamente a super mario galaxy en ee uu
¿Qué efectos cree Noboa que tendrá la amnistía?,qué efectos cree noboa que tendrá la amnistía
¿Cuándo ocuparon los indígenas el Palacio Legislativo?,cuándo ocuparon los indígenas el palacio legislativo
¿Cuántos indígenas ocuparon el Palacio Legislativo?,cuántos indígenas ocuparon el palacio legislativo
¿Adónde se dirigieron los indígenas tras ocupar el Palacio Legislativo?,adónde se dirigieron los indígenas tras ocupar el palacio legislativo
¿Contra quién se dirigió el golpe de estado?,contra quién se dirigió el golpe de estado
¿Qué asuntos urgentes debe atender el país?,qué asuntos urgentes debe atender el país
¿Quién tiene competencia para imponer sanciones a los militares?,quién tiene competencia para imponer sanciones a los militares
¿Cómo se llama el líder de la Coordinadora de Movimientos Sociales?,cómo se llama el líder de la coordinadora de movimientos sociales
¿Qué ocurrirá si se sanciona a los militares rebeldes según Napoleón Saltos?,qué ocurrirá si se sanciona a los militares rebeldes según napoleón saltos
¿Cuál es el objetivo de la amnistía según Juan José Pons?,cuál es el objetivo de la amnistía según juan josé pons
¿Quién era Joseph Smith?,quién era joseph smith
¿Dónde encontró Joseph Smith los papiros en los que se basó para escribir el Libro de Abraham?,dónde encontró joseph smith los papiros en los que se basó para escribir el libro de abraham
¿Cómo consideran los egiptólogos no mormones que ha sido la restauración de las partes estropeadas de los papiros de Smith?,cómo consideran los egiptólogos no mormones que ha sido la restauración de las partes estropeadas de los papiros de smith
¿Qué aceptó la iglesia SUD en 2014?,qué aceptó la iglesia sud en 2014
¿Cómo establece el ensayo publicado el 2014 por la iglesia SUD que se puede hallar la verdad del Libro de Abraham?,cómo establece el ensayo publicado el 2014 por la iglesia sud que se puede hallar la verdad del libro de abraham
¿Cómo interpretó Smith los documentos según el argumento más común?,cómo interpretó smith los documentos según el argumento más común
¿Cuándo se escribió el Libro de Abraham?,cuándo se escribió el libro de abraham
¿Cuántas partes componen el Libro de Abraham?,cuántas partes componen el libro de abraham
¿Qué muestra el facsímil número 3?,qué muestra el facsímil número 3
¿A qué edad ha muerto el cantaor granadino?,a qué edad ha muerto el cantaor granadino
¿Qué consiguió con el flamenco para que su obra sea tan relevante?,qué consiguió con el flamenco para que su obra sea tan relevante
¿Cómo se hallaba el artista hasta poco antes de su fallecimiento?,cómo se hallaba el artista hasta poco antes de su fallecimiento
¿Qué ocasionó la pérdida de las fuentes primordiales de materias primas de Cartago?,qué ocasionó la pérdida de las fuentes primordiales de materias primas de cartago
"¿Quién no podía entrar a Cartago tras las pérdidas de Sicilia, Córcega y Cerdeña?",quién no podía entrar a cartago tras las pérdidas de sicilia córcega y cerdeña
¿Cómo quedó la comunicación con Grecia y Macedonia?,cómo quedó la comunicación con grecia y macedonia
¿Dónde tuvo lugar la protesta de 30 mil humanos?,dónde tuvo lugar la protesta de 30 mil humanos
¿Quién es el mandatario colombiano?,quién es el mandatario colombiano
¿Cuándo fueron liberados los rehenes?,cuándo fueron liberados los rehenes
¿Dónde tuvo lugar el rapto?,dónde tuvo lugar el rapto
¿A qué se presenta Bertrand Delanoe?,a qué se presenta bertrand delanoe
¿Cuántos años tiene Delanoe?,cuántos años tiene delanoe
¿Cuántos votos obtuvo Delanoe?,cuántos votos obtuvo delanoe
¿Qué cargo ostenta ahora Jack Lang?,qué cargo ostenta ahora jack lang
¿Quién es el ex número uno el RPR?,quién es el ex número uno el rpr
¿Quién está al frente de París en la actualidad?,quién está al frente de parís en la actualidad
¿Qué puesto desempeña Arturo Valenzuela en el gobierno estadounidense?,qué puesto desempeña arturo valenzuela en el gobierno estadounidense
¿Cuál era uno de los asuntos centrales que querían abordar Valenzuela y Ortega?,cuál era uno de los asuntos centrales que querían abordar valenzuela y ortega
¿Cuándo dimitió Shizo Abe?,cuándo dimitió shizo abe
¿Quién es el nuevo mandatario japonés?,quién es el nuevo mandatario japonés
¿A qué formación política pertenece el mandatario?,a qué formación política pertenece el mandatario
¿Qué reclamaban los ancianos?,qué reclamaban los ancianos
¿Cuánto dinero es necesario para financiar las pensiones?,cuánto dinero es necesario para financiar las pensiones
¿Dónde se manifestaron los ancianos?,dónde se manifestaron los ancianos
¿Cuántas personas fallecieron por culpa de la agresión?,cuántas personas fallecieron por culpa de la agresión
¿Quién perpetró la agresión?,quién perpetró la agresión
¿Dónde está el templo?	,dónde está el templo
¿Qué comportamiento ha experimentado el valor del crudo en varias bolsas del mundo?,qué comportamiento ha experimentado el valor del crudo en varias bolsas del mundo
¿Por qué se ha detenido la parte de la producción de crudo en la región atlántica?,por qué se ha detenido la parte de la producción de crudo en la región atlántica
¿Dónde se sitúa el origen que explica estas subidas históricas del petróleo?,dónde se sitúa el origen que explica estas subidas históricas del petróleo
¿Qué título se le dio a esta película en India?,qué título se le dio a esta película en india
¿Cuál es el título en castellano del libro en el que se basa esta película?,cuál es el título en castellano del libro en el que se basa esta película
¿Cuántos años tiene Harry Potter cuando empieza su entrenamiento como mago?,cuántos años tiene harry potter cuando empieza su entrenamiento como mago
¿Cuál fue el primer formato en el que se estrenó la cinta?,cuál fue el primer formato en el que se estrenó la cinta
¿Cuál es el nombre de la recopilación en DVD de las tres primeras películas de la saga?,cuál es el nombre de la recopilación en dvd de las tres primeras películas de la saga
